,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sioux,1,US,1570571504,42,46.74,-90.88,69.01,5.82
1,Hithadhoo,4,MV,1570571504,72,-0.6,73.08,81.8,7.23
2,Kaeo,0,NZ,1570571504,94,-35.1,173.78,71.01,8.8
3,Tiksi,100,RU,1570571233,87,71.64,128.87,25.31,14.18
4,Gorokhovets,20,RU,1570571505,87,56.21,42.68,32.0,6.71
5,Narsaq,100,GL,1570571505,93,60.91,-46.05,37.4,2.24
6,Qaanaaq,93,GL,1570571506,65,77.48,-69.36,19.88,12.57
7,Mataura,100,NZ,1570571506,98,-46.19,168.86,51.01,3.0
8,Guerrero,0,AR,1570571506,15,-24.19,-65.45,86.0,11.41
9,Cabo,75,ES,1570571507,93,43.18,-5.8,60.01,8.05
10,Pisco,40,PE,1570571507,30,-13.71,-76.2,71.6,11.41
11,Hobart,75,AU,1570571507,66,-42.88,147.33,50.0,8.05
12,Jamestown,22,AU,1570571508,88,-33.21,138.6,38.35,8.6
13,Jumla,3,NP,1570571508,87,29.28,82.18,41.32,3.91
14,Kavieng,4,PG,1570571508,73,-2.57,150.8,84.8,11.95
15,Pevek,100,RU,1570571509,80,69.7,170.27,30.93,17.38
16,Upernavik,83,GL,1570571509,51,72.79,-56.15,30.53,8.52
17,Ushuaia,90,AR,1570571324,65,-54.81,-68.31,44.6,27.51
18,Menongue,94,AO,1570571510,52,-14.66,17.68,70.51,7.11
19,Vaini,100,IN,1570571510,91,15.34,74.49,74.89,1.88
20,Vestmannaeyjar,91,IS,1570571510,85,63.44,-20.27,49.76,7.7
21,Cody,1,US,1570571510,25,44.53,-109.06,72.0,10.29
22,Mar,0,CN,1570571511,77,29.86,90.73,31.27,4.36
23,New,75,LR,1570571378,94,6.65,-10.59,77.0,12.53
24,Saskylakh,88,RU,1570571511,96,71.97,114.09,17.03,9.22
25,Mys,100,RU,1570571511,80,62.06,48.62,33.57,13.13
26,Puerto,100,AR,1570571512,27,-51.62,-69.23,50.0,27.51
27,Chokurdakh,48,RU,1570571512,99,70.62,147.9,4.75,1.89
28,Punta,20,PH,1570571512,78,14.18,121.12,80.6,3.95
29,Hermanus,100,ZA,1570571512,89,-34.42,19.24,57.99,1.99
30,Vanimo,100,PG,1570571513,80,-2.67,141.3,80.37,7.99
31,Ewo,92,CG,1570571253,69,-0.88,14.81,76.45,1.34
32,Port,89,CD,1570571515,66,-7.04,29.76,79.79,1.49
33,Phonhong,92,LA,1570571517,99,18.5,102.42,69.38,1.01
34,Kodiak,1,US,1570571517,40,39.95,-94.76,72.0,10.29
35,Butaritari,67,KI,1570571517,67,3.07,172.79,85.4,13.2
36,Rikitea,100,PF,1570571517,83,-23.12,-134.97,67.13,10.45
37,Iquique,0,CL,1570571518,72,-20.22,-70.14,60.8,12.75
38,Norwich,21,GB,1570571519,81,52.63,1.29,52.0,8.05
39,Hay,0,AU,1570571519,73,-34.51,144.84,43.1,13.13
40,Port,83,CD,1570571519,46,-7.04,29.76,69.09,3.0
41,Cidreira,100,BR,1570571520,83,-30.17,-50.22,66.36,15.54
42,Jalu,0,LY,1570571520,21,29.03,21.55,81.85,16.87
43,Bambous,40,MU,1570571520,83,-20.26,57.41,71.6,14.99
44,Tessalit,0,ML,1570571521,12,20.2,1.01,90.1,11.14
45,College,90,US,1570571521,93,64.86,-147.8,35.6,5.82
46,Kapaa,75,US,1570571521,74,22.08,-159.32,84.2,12.75
47,Kaseda,20,JP,1570571522,87,31.42,130.32,51.8,3.36
48,Faya,49,SA,1570571522,32,18.39,42.45,69.8,9.17
49,Bluff,0,AU,1570571522,28,-23.58,149.07,70.71,9.82
50,Isangel,20,VU,1570571523,69,-19.55,169.27,78.8,5.82
51,Sechura,100,PE,1570571523,92,-5.56,-80.82,61.56,19.47
52,Shimoda,1,JP,1570571523,97,34.7,138.93,66.0,6.2
53,Boyolangu,35,ID,1570571524,95,-8.09,111.9,70.02,5.63
54,Feijo,90,EC,1570571524,88,-3.63,-79.92,89.6,4.7
55,Yantarnyy,75,RU,1570571524,93,54.87,19.94,54.0,8.95
56,Avarua,100,CK,1570571525,56,-21.21,-159.78,73.4,16.11
57,Macau,27,BR,1570571525,68,-5.11,-36.64,79.98,28.86
58,Tuatapere,100,NZ,1570571525,98,-46.13,167.69,51.01,3.0
59,Arraial,40,BR,1570571526,93,-22.84,-46.65,64.4,12.75
60,Havoysund,40,NO,1570571526,86,71.0,24.66,37.4,12.75
61,Avera,40,US,1570571527,51,33.19,-82.53,87.8,8.05
62,Noumea,90,NC,1570571260,69,-22.28,166.46,75.2,4.7
63,Albany,75,US,1570571527,51,42.65,-73.75,62.6,5.82
64,Birao,67,CF,1570571528,89,10.3,22.78,71.48,2.66
65,Peterhead,20,AU,1570571528,57,-34.83,138.5,55.0,6.93
66,Flinders,40,AU,1570571529,71,-34.58,150.85,59.0,14.99
67,Kharp,100,RU,1570571529,94,66.82,65.8,30.05,3.27
68,Swan,1,US,1570571529,37,41.47,-93.31,71.01,14.99
69,Poum,17,MK,1570571530,87,41.28,20.71,45.24,4.72
70,Cayenne,0,GF,1570571279,74,4.94,-52.33,82.4,6.93
71,Yellowknife,75,CA,1570571530,64,62.45,-114.38,33.8,19.46
72,Longyearbyen,75,NO,1570571531,88,78.22,15.63,35.6,1.12
73,Chapais,1,CA,1570571531,53,49.78,-74.86,50.0,11.41
74,Nambucca,12,AU,1570571531,45,-30.63,152.98,64.99,11.41
75,Airai,0,TL,1570571532,68,-8.93,125.41,68.68,3.44
76,Arawa,97,ID,1570571532,96,-3.93,119.75,68.63,2.31
77,Castro,20,CL,1570571532,62,-42.48,-73.76,51.8,10.29
78,Oranjemund,0,ZA,1570571533,89,-28.55,16.43,58.58,11.63
79,Busselton,100,AU,1570571533,61,-33.64,115.35,57.0,12.42
80,Qasigiannguit,5,GL,1570571535,58,68.82,-51.19,30.2,1.12
81,Trabzon,75,TR,1570571537,83,41.01,39.72,69.8,10.29
82,Tura,0,RU,1570571537,82,64.27,100.22,13.01,5.66
83,Lazaro,5,MX,1570571538,24,29.05,-111.04,100.99,4.7
84,Barrow,0,AR,1570571538,48,-38.31,-60.23,62.27,5.5
85,Atuona,0,PF,1570571538,73,-9.8,-139.03,79.15,13.91
86,Yulara,0,AU,1570571539,32,-25.24,130.99,55.4,8.05
87,Bathsheba,40,BB,1570571539,70,13.22,-59.52,84.2,14.99
88,Muli,100,CN,1570571539,83,28.08,109.56,59.06,4.03
89,Carnarvon,0,ZA,1570571540,33,-30.97,22.13,60.44,13.6
90,Nantucket,75,US,1570571540,82,41.28,-70.1,61.0,13.87
91,Port,83,CD,1570571263,46,-7.04,29.76,69.09,3.0
92,Moose,1,US,1570571540,25,43.66,-110.72,62.6,9.17
93,Salalah,40,OM,1570571541,78,17.01,54.1,80.6,3.36
94,Hilo,20,US,1570571541,62,19.71,-155.08,84.2,10.29
95,Neftekamsk,100,RU,1570571541,77,56.1,54.26,39.08,1.03
96,Yetkul,20,RU,1570571541,75,54.83,61.59,46.4,6.71
97,Georgetown,75,GY,1570571427,79,6.8,-58.16,84.2,9.17
98,Sao,0,IN,1570571264,80,20.51,76.21,72.0,2.84
99,Ust-Kuyga,0,RU,1570571542,90,70.0,135.55,3.93,3.76
100,Atambua,0,ID,1570571542,77,-9.11,124.89,76.25,8.21
101,Fairbanks,90,US,1570571477,93,64.84,-147.72,35.01,5.82
102,Cherskiy,96,RU,1570571543,95,68.75,161.3,20.54,8.46
